Rule,Category,Example,Score
STRESS_OUT_FOR_OVER,Collocations,I have to stop stressing out for everything.,
STRIKE_A_CORD,Possible Typo,Her comment happened to strike a cord with the colonel.,80
STRIPED_STRIPPED,Commonly Confused Words,He striped naked for a swim.,
STRIPPED_STRIPED,Commonly Confused Words,Did you see her stripped dress?,
SUBSEQUENT_TO,Redundant Phrases,The roads needed repairs subsequent to the storm.,
SUFFER_OF_WITH,Collocations,A clinical psychologist deals with people suffering of bipolar disorder.,
SUFFICIENT,Plain English,That is sufficient reason.,
SUFFICIENT_ENOUGH,Redundant Phrases,The money is sufficient enough to buy the pullover.,
SUMMER_TIME,Redundant Phrases,It is warm during the summer time.,
,,It is warm during the summertime.,
SUMMON_AT_TO,Collocations,"Without him knowing, Quentin was summoned at an examination in order to get his admission to this institution.",
SUPERIOR_THAN,Collocations,He feels inferior than us.,
,,He feels more inferior than us.,
SUPERIOR_THAN_TO,Grammar,This product is superior than the competition.,50
SUPERLATIVE_THAN,Grammar,That's worst than before!,50
SUPPER,Commonly Confused Words,"After I had eaten my super, I went straight to bed.",
,,We went for a walk after super.,
SUPPOSE_TO,Possible Typo,What jar is this suppose to be coming from?,80
SWORN_AFFIDAVIT,Redundant Phrases,A sworn affidavit is a written statement made by someone under oath to tell the truth about something.,
,,His sworn affidavit was deposited in the post office mailbox.,
TAKE_ACTION_TO,Plain English,Take action to fight climate change.,
TAKE_AWHILE,Possible Typo,"I'm sorry sir, your laundry will take awhile longer.",80
TAKE_THE_REIGNS,Possible Typo,Take the reigns cried the bandit.,80
TAKING_CASE_OF_IT,Commonly Confused Words,We need to take case of it.,
TAKING_INTO_CONSIDERATION,Collocations,Tom takes into consideration of all the perspectives.,
TALK_AT_TO,Collocations,I was talking at Charles about,
TALK_DOWN_ABOUT_TO,Collocations,Don't you ever talk down about my baby boy or Kristy.,
TANK_YOU,Possible Typo,Tank you very much!,80
,,The case went poorly tanks to the lawyer's incompetence.,
TATTLE-TAIL,Possible Typo,Every child hates a tattle-tail.,80
TEEM_TEAM,Commonly Confused Words,This is my favorite football teem.,
TELEPHONE_POLL,Commonly Confused Words,"As sort of life crises go, this is low on the totem poll.",
TEMPORARY_BIVOUAC_BIVOUAC,Redundant Phrases,"In temporary bivouac areas (1 to 3 days), the straddle trench latrine is used unless more permanent facilities are provided for the unit.",
TH_THORIUM,Possible Typo,Th water is hot.,80
THAN_I,Style,She is wiser than me!,
THAN_INTERJ,Commonly Confused Words,"The genuinely interesting question, than, becomes...",
THAT_BEING_SAID,Commonly Confused Words,That being sad ...,
THAT_EXISTS,Plain English,The fear that exists among many people that we are losing our woodlands is uncalled for.,
THAT_I_WORK_FOR,Collocations,The company that I work is Cosme Inc...,
THATS_ITS,Possible Typo,He's it's primary caretaker.,80
THATS_THEYRE,Possible Typo,That's they're fault.,80
THATS_YOURE,Possible Typo,"Don't ask me, that's you're own problem.",80
THE_BEST_WAY,Grammar,There must be faster way of going to California.,50
,,This is best way of dealing with errors.,
THE_EXACTLY_THE,Grammar,That’s the really the point of these songs.,50
THE_FALL_SEASON,Redundant Phrases,The leaves turn red and gold in the fall season.,
THE_FLEW,Commonly Confused Words,I have been out with the flew for the past 3 days.,
THE_HOW,Possible Typo,These are also examples of the how a woman's perspective can contribute to science.,80
THE_NN_AND_THE_NN,Grammar,The plane and the train is fast.,50
THE_ONLY_ON,Possible Typo,The trash folder is the only on for me that works.,80
THE_PROOF_IS_IN_THE_PUDDING,Nonstandard Phrases,The Proof Is In The Pudding,
THE_PUNCT,Grammar,"I am going to an, then I see you.",50
THE_QUESTION_WH,Nonstandard Phrases,This thesis addresses the question how to analyze concepts.,
THE_SAME_AS,Grammar,This is not the same thing than his.,50
THE_SENT_END,Grammar,I am going to an.,50
THE_SOME_DAY,Possible Typo,It happened on the some day.,80
THE_SUPERLATIVE,Grammar,Kyoto is an oldest city.,50
,,The guy is best driver.,
,,The guy is funniest friend.,
,,The guy is least funny friend.,
THE_THEY,Commonly Confused Words,The cannot help you.,
THE_TRUTH_OR_FACT_IS,Plain English,"The truth is, this is annoying.",
THE_UNDERSIGNED,Plain English,Please contact the undersigned.,
THE_WORSE_OF,Grammar,The worse of all is that he doesn't know what to do!,50
THEIR_IS,Commonly Confused Words,He noticed that their is a new test.,
,,He noticed that they're is a new test.,
,,"Yes, their might be a better approach.",
THEM_SELVES,Possible Typo,They were falling over them selves.,80
THERAPEUTIC_TREATMENT,Redundant Phrases,My swelled knee required special therapeutic treatment.,
THERE_EXITS,Possible Typo,There exits an α-evaluating homomorphism π.,80
THERE_OWN,Commonly Confused Words,They completed the huge project on they're own.,70
,,They were largely on there own that night.,
THERE_RE_MANY,Grammar,There are many problem in Iraq.,50
,,There're a lot problem in Iraq but it is not a terrible situation.,
,,There're problem in Iraq but it is not a terrible situation.,
THERE_S_MANY,Grammar,There is many problems in Iraq but it is not a terrible situation.,50
,,There is problems in Iraq but it is not a terrible situation.,
,,There's many problems in Iraq but it is not a terrible situation.,
,,There's problems in Iraq but it is not a terrible situation.,
THERE_THEIR,Commonly Confused Words,The parents loved there son.,70
,,The parents yelled at there son.,
,,What would you do in there place?,
THERE_WAS_MANY,Grammar,For almost one year there was no updates to the software.,50
,,For more than one year there was updates daily.,
THESE_ONES,Grammar,These Ones Are Bitter.,50
THESE_SINGULAR_NOUN,Grammar,How is livelihood in America these day?,50
THEY_WHERE,Commonly Confused Words,It seems unlikely that they where going to achieve it.,70
THEYRE_JJS_NN,Possible Typo,It was they're oddest hypothesis yet.,80
THEYRE_THEIR,Commonly Confused Words,I'm not worried about they're problems.,70
,,These are they're best clothes.,
THINK_IN_ABOUT,Collocations,I'm thinking in finish this text.,
THINK_OFF,Possible Typo,It's the only part of KDE I know off that uses automasking.,80
THINK_YOU_A,Possible Typo,Some would think you a fortunate man.,80
THIS_NNS,Grammar,If this errors are easy to fix...,50
,,These kind of errors are easy to fix.,
,,These was an error.,
,,This are errors.,
THIS_NNS_VB,Grammar,Can LanguageTool find this errors?,50
,,This images are beautiful.,
THOUGH_THROUGH,Possible Typo,You should read though this contract.,80
THREE_NN,Style,The security protection software we offer is the state-of-the art achievement.,
THROUGH_AWAY,Possible Typo,Or we just through away all bugs.,80
THROUGH_OUT,Possible Typo,We felt awkward through out the play.,80
THROUGH_THOROUGH,Commonly Confused Words,The manual does not have a through discussion of the topic.,70
THROWS_THROES,Possible Typo,He was in the final throws of death.,80
,,The country is still in the throws of a major crisis.,
TIME_NOW,Plain English,"At the moment, I am taking a leave of absence from my work.",
,,"At the present time, this Wiki is experimental.",
,,"At this time, Churchill was serving as Chancellor of the Exchequer",
,,This document has no formal standing at this point in time.,
TIP_AND_TRICK,Grammar,tip and tricks,50
,,tips and trick,
TIRED_ABOUT_OF,Collocations,tired about.,
TIRED_INTENSIFIERS,Plain English,The band is very irritating.,
TIRED_OF_FROM,Collocations,I am always tired of the last night,
TO__THEN_BY,Possible Typo,I'd rather go to play then by the market.,80
TO_AIDE,Commonly Confused Words,I want to aide you in a task.,70
TO_BACKOUT,Possible Typo,There's still time to backout of the deal.,80
TO_BATH,Possible Typo,It's so relaxing to bath in the evening.,80
TO_BLACKOUT,Possible Typo,He didn't want to blackout in front of his professor.,80
TO_COMEBACK,Possible Typo,The Mets gave the Yankees too much of a chance to comeback.,80
TO_FOUND_FIND_A_CURE,Collocations,It took a while to found a cure for malaria.,80
TO_NON_BASE,Grammar,He convinced her to gave him a call.,50
,,I was surprised to learns this.,
,,I've decided to renamed the project.,
,,She wants you to goes there.,
TO_ON_A_TRIP,Collocations,"Yes, I went to a trip.",80
TO_THE_MANOR_BORN,Possible Typo,He played the piano as to the manor born.,80
TO_TOO,Commonly Confused Words,But I see the problem of two many files.,70
,,"But you can use it for other things, to.",
,,His idea came much to soon to be successful.,
,,It broke because to much snow was on it.,
,,It's to early.,
,,It's to good to be true.,
,,She returned to quickly.,
,,This price is way to high.,
,,To bad that you don't like cats.,
TO_VB_ITS_NN,Possible Typo,I wanted so badly to take it's apple and throw it through the window.,80
TO_WITHDRAWN,Grammar,The team are to withdrawn.,50
TODAY_MORNING,Collocations,I'm going home today evening.,80
TODAY_NIGHT,Collocations,I'm going fishing today night.,80
TOME_TIME,Possible Typo,I found tome to read.,80
,,I have no tome.,
TONGUE_AND_CHEEK,Possible Typo,He said it with a fair amount of tongue and cheek.,80
TOO_ADJECTIVE_TO,Grammar,This is to good to be true.,50
TOO_CARDINAL_NUMBER,Possible Typo,We are expanding too ten new locations.,80
TOO_DETERMINER,Possible Typo,We expanded too all proposed new locations.,80
TOO_EITHER,Grammar,"I am not a child, and my cousin isn't too.",50
,,I don't have problems too.,
,,I have no problems too.,
TOO_LONG_PARAGRAPH,Stylistic hints for creative writing,(empty),
TOO_LONG_SENTENCE,Style,(empty),
TOO_TO,Commonly Confused Words,I want too go abroad.,70
TOO_TWO,Possible Typo,They meet at too o'clock.,80
TOOL_LONG,Possible Typo,I was away for tool long.,80
TOT_HE,Possible Typo,The Hitchhiker's Guide tot he Galaxy,80
TOW_THE_LINE,Possible Typo,We'll tow the line.,80
TRADEMARK,Typography,The new product is Executive Choice(TM) Plus.,
TRAVEL_WITH_BY,Collocations,We are going to travel with a bus.,80
TRAVELED_FOR,Collocations,I traveled four days.,80
TREASURE_TROUGH,Possible Typo,In the wreckage they found a treasure trough of doubloons.,80
TREE_THREE,Redundant Phrases,I've lived in Barcelona for tree years.,
TRITE_AND_TRUE,Possible Typo,It was a trite and true solution.,80
TRUE_TO_WORD,Possible Typo,She was true to her words.,80
TRY_AND,Redundant Phrases,She is going to try and go to the store.,
TURNED_OFF,Commonly Confused Words,The light was switched of,70
TWICE_AS_COLD,Semantic,It's half as warm as it was yesterday.,
TWO_CONNECTED_MODAL_VERBS,Grammar,That could should do.,50
TYPE_OF,Plain English,Legislators need to be more careful of the type of policy they propose.,
UNDER_WEAR,Possible Typo,Designer's Under Wear,80
UNLIKELY_OPENING_PUNCTUATION,Punctuation Errors,; How's it goin'?,
UNNECESSARY_COMMA,Punctuation Errors,"My aunt, and I like skiing.",
UNTIL_SUCH_TIME_AS,Plain English,He may keep the key until such time as he resigns.,
UP_TO_DATA,Possible Typo,The software is not up to data.,80
UPPERCASE_SENTENCE_START,Capitalization,This house is old. it was built in 1950.,100
URINE_ANALYSIS,Possible Typo,They got the results of the urine analysis the next day.,80
USE_TO_VERB,Grammar,He use to believe this.,50
USELESS_THAT,Redundant Phrases,I am pretty sure that this is right.,
USUAL_CUSTOM,Redundant Phrases,Eggnog on Christmas is our usual custom.,
VARIETIES_IN_OF,Collocations,They should increase varieties in food.,80
VARY_MUCH,Possible Typo,Thank you vary much.,80
VARY_VERY,Possible Typo,They were vary happy.,80
VB_A_WHILE,Possible Typo,He was expected to forget a while after the fact.,80
VBG_THEYRE,Commonly Confused Words,They couldn't stop conceptualizing they're own demise.,70
VBG_YOURE,Possible Typo,Stop visualizing you're own demise.,80
VBZ_IN_THEYRE_NN,Possible Typo,What kind of person disparages of they're company?,80
VBZ_VBD,Possible Typo,...which is wasn't the last day.,80
VE_GO_TO,Possible Typo,I've go to go.,80
VE_HAVING,Grammar,I've having lunch.,50
VERB_IN_AT,Collocations,"At lunch, I eat with my colleague working or I eat in my desk alone.",80
VERSE,Commonly Confused Words,The tale was written in verses.,70
VERY_KNOWN,Nonstandard Phrases,He is a very known actor.,
VERY_MATCH,Possible Typo,Thank you very match.,80
VERY_THANKS_THANKS_A_LOT,Grammar,Very thanks!,50
VERY_UNIQUE,Redundant Phrases,Walk until you see the very unique building on your right.,
VINTAGE_POINT,Possible Typo,There was a great vintage point on the back side of the hill.,80
VULNERABLE_FROM_TO,Collocations,"We do want to differ from other solutions where you must redirect all your domain names to a service provider, leaving your server vulnerable from direct attacks and having you hassle with domain records all the time.",80
WAIT_AFTER_FOR,Collocations,I am waiting after her.,80
WAITING_MY_PATIENT,Collocations,Anne is waiting her patient.,80
WAITING_MY_PATIENT_FINISH,Collocations,I am waiting my patient finish the sample collection.,80
WAIVED_OFF,Possible Typo,The offsides call was waived off by the referee.,80
WAN_T,Possible Typo,But I wan't to suggest something else.,80
WANT_THAT_I,Grammar,He wants that I send him an email.,50
,,He wants that we send him an email.,
,,He wants that you send him an email.,
,,They want that he sends him an email.,
,,They want that she sends him an email.,
,,They want that they sends him an email.,
WAS_ALOUD,Possible Typo,No dancing was aloud.,80
WAS_BEEN,Grammar,She was been here since Monday.,50
,,She was not been here since Monday.,
,,She wasn't been here since Monday.,
WAS_COMPRISED_OF,Possible Typo,The proposal was comprised of faulty assumptions.,80
WAS_LAIN,Possible Typo,The body was lain beside his wife in the cemetery.,80
WAS_WANDERING_IF,Commonly Confused Words,I was wandering if someone could help me.,70
WAY_SIDE,Possible Typo,We let it fall by the way side.,80
WE_RB_ARE_VB,Grammar,Today we still are fly to space.,50
WEATHER_WHETHER,Possible Typo,She asked weather he knew her.,80
WEB_SITE,Possible Typo,The web site was down.,80
WED_WE_D,Possible Typo,"Really, wed better hurry!",80
,,Wed gone so far.,
WELL_IN_ON,Collocations,I do badly in tests because I'm lazy.,80
WERE_ARE,Possible Typo,We're are the favorites to win the championship.,80
WERE_COMPRISED_OF,Possible Typo,The missiles were comprised of nuclear warheads.,80
WERE_MD,Possible Typo,Were could we sleep tonight?,80
WERE_VBB,Possible Typo,They went were he wanted.,80
,,Were are in the process of implementing this.,
WET_YOUR_APPETITE,Possible Typo,The first John Wayne movie will only serve to wet your appetite.,80
WHAT_HOW,Possible Typo,How is it like to live in New York?,80
,,How is your new teacher like?,
WHAT_I_MEAN_TO_SAY_IS_THAT,Plain English,What I mean to say is that well intentioned lawmakers sometimes make fools of themselves.,
WHAT_VBZ,Grammar,Who want to go to the mall?,50
WHAT_WE_CALL_2,Collocations,I'm not what we call perfectly bilingual.,80
WHEN_WHERE,Style,There are times where you need to measure high current devices.,
WHERE_AS,Possible Typo,"The northern and urban areas of the state do not generally offer sweet tea in the most restaurants, where as it is a staple beverage for the southern part ...",80
WHETHER,Redundant Phrases,"As to whether it is difficult, we are not concern.",
,,The question as to whether it is difficult is not our concern.,
,,The question as to whether or not it is difficult is not our concern.,
,,The question of whether it is difficult is not our concern.,
,,The question whether it is difficult is not our concern.,
,,We are not concern as to whether or not it is difficult.,
,,What the government decides to do depends on whether or not the bill passes.,
WHICH_COMPRISED_OF,Possible Typo,"The ants, which comprised of the colony, were asleep.",80
WHIM_AND_A_PRAYER,Possible Typo,The Lakers appeared to be hanging on a whim and a prayer.,80
WHIP_CREAM,Nonstandard Phrases,Whip cream until it becomes whip cream.,
WHITESPACE_PARAGRAPH,Style,(empty),
WHITESPACE_PARAGRAPH_BEGIN,Style,(empty),
WHITESPACE_RULE,Typography,(empty),
WHO_NOUN,Grammar,A student who participant in the program,50
WHO_THAN,Commonly Confused Words,"Please, who than can help!",70
WHO_VERB,Grammar,Who care's?,50
WHO_WHOM,Possible Typo,Depending on who you like more...,80
,,Whom paid for the meal?,
WHOLE_LOT,Redundant Phrases,I will read a whole lot of books,
WHOM_WHO,Possible Typo,Sarah gave the tickets to who?,80
,,"The hall was filled with students, many of who were girls.",
,,With who did you go?,
WHORE_WORE,Commonly Confused Words,Last Sunday I whore a beautiful dress.,70
,,This is the skirt that I whore last week.,
WHOS,Possible Typo,By who's standards?,80
,,These are people who's lives are important.,
,,Those who's highest level of education...,
WHOS_ACTUAL,Possible Typo,Who's actual job is it to make copies around here?,80
WHOS_NN,Possible Typo,Do we know who's banana this is on the table?,80
WHOS_TO,Possible Typo,Whose at the door?,80
WHOSE_DT,Possible Typo,Whose the boss around here?,80
WIFI,Possible Typo,WiFi is a technology for wireless local area networking with devices based on the IEEE 802.11 standards.,80
WIKIPEDIA_12_AM,Wikipedia,At 12 am,
WIKIPEDIA_12_PM,Wikipedia,At 12 pm,
WIKIPEDIA_CONTRACTIONS,Wikipedia,it's,
,,wasn't,
WIKIPEDIA_CURRENTLY,Wikipedia,currently,
WILDLY_ACCEPTED,Commonly Confused Words,This idea is now wildly accepted.,70
WILL_BE_COMPRISED_OF,Possible Typo,The album will be comprised of synthetic sounds.,80
WILL_COMPRISE_OF,Possible Typo,The ants will comprise of the colony.,80
WILL_IN_THE_FUTURE,Redundant Phrases,I will in the future work hard.,
WILL_LIKE_TO,Grammar,I will like to do something.,50
WITCH_HAUNT,Commonly Confused Words,An anti-Polish witch haunt,70
WITCH_IS_WRONG,Commonly Confused Words,Which position is right and witch is wrong?,70
WITH_OR_IN_REFERENCE_OR_REGARD_TO,Plain English,Statement in reference to the book.,
WITH_OUT,Possible Typo,We must take the bus before it leaves with out us.,80
WITH_THE_EXCEPTION_OF,Redundant Phrases,"With the exception of Bob, all of the children went running.",
WITHOUT_OUT,Possible Typo,"Without out a doubt, the internet's power is mighty and far-reaching.",80
WOMAN_WOMEN,Grammar,A women walked in to the room.,50
WONT,Possible Typo,"No, I wont do that.",80
WORD_WAR,Possible Typo,He was a member of the anti-aircraft artillery during Word War II,80
WORK_COLLEAGUE,Redundant Phrases,I will talk to a work colleague.,
WORK_IN_ON_A_PROJECT,Collocations,"Later, I started working as a Research Assistant in university projects again.",80
WORKING_PROGRESS,Possible Typo,His symphony was a working progress.,80
WORLD_AROUND_IT,Redundant Phrases,He didn't like the world around him.,
WORLD_WIDE,Possible Typo,There was a world wide epidemic.,80
WORRY_FOR,Collocations,Don't worry for.,80
WORSE_WORST,Grammar,Worse came to worse.,50
WORSE-CASE_SCENARIO,Possible Typo,They always prepared for the worse-case scenario.,80
WORST_COMES_TO_WORST,Possible Typo,"If worst comes to worst, we'll just move.",80
WORST_WORSE,Grammar,The conditions in March were much worst than they imagined to be possible.,50
WORTH_THAN,Commonly Confused Words,Is cloud hosting worth than hostgator?,70
WORTH_WHILE,Possible Typo,It was a worth while endeavor.,80
WORTHWHILE,Plain English,It was a worthwhile endeavor.,
WOULD_COMPRISE_OF,Possible Typo,The ants would comprise of the colony.,80
WRB_THERE_THEY_RE,Possible Typo,"Wherever there going, I will follow them.",80
WRECK_HAVOC,Possible Typo,The hurricane would go on to wreck havoc up and down the coast.,80
WRITE_IN_MY_OWN_PAGE,Collocations,That is written in page 21.,80
WRITINGPOLITICALSCIENCE_GAFF,Possible Typo,His novel was a huge cultural gaff.,80
WRITINGPOLITICALSCIENCE_GAFFS,Possible Typo,There were some serious political gaffs committed that day.,80
WRONG_APOSTROPHE,Typography,I´ll be here.,
,,She´ll make a decision tomorrow.,
,,You shouldn;t do it!,
,,You shouldn´t do it!,
,,You´ll have to decide.,
WRONG_GENITIVE_APOSTROPHE,Possible Typo,This was the employees's decision.,80
WRONG_PRP_AT_SENT_START,Grammar,Her has many animals.,50
YEAR_20001,Semantic,I will go to Holland in May 20014.,
YEAR_END_AND_YEAR_OUT,Possible Typo,"Year end and year out, we go out to the vineyards.",80
YELL_ON_AT,Collocations,Lily yelled on him.,80
YESTERDAY_NIGHT,Collocations,I was there yesterday night.,80
YOU_ARE_REQUESTED,Plain English,you are requested to sit down.,
YOU_THING,Possible Typo,I thing that's a good idea.,80
YOULL_WILL,Possible Typo,You'll will want to make sure you get the daily special.,80
YOUR,Commonly Confused Words,Let's see if your a developer.,70
,,Let's see if your using multiple search servers.,
,,Your so annoying!,
YOUR_NN,Commonly Confused Words,You're optimization is a good example.,70
YOUR_S,Possible Typo,"It's not mine, it's your's.",80
YOUR_SHOULD,Possible Typo,"If it's running, your should deactivate it.",80
YOUR_YOU,Possible Typo,Have your seen my sister?,80
YOUR_YOU_RE,Possible Typo,Your beautiful.,80
,,Your not a nice man.,
,,"Your sincerely, Tom",
,,Your welcome.,
YOURE_JJS_NN,Possible Typo,I'd like to buy you're greenest banana please.,80
YOURS_APOSTROPHE,Possible Typo,This house is yours'.,80
ZERO-SUM_GAIN,Commonly Confused Words,It is a zero-sum gain when wages are held flat...,70
